period,Net Foreign Assets,M1 Money Supply,M3 Money Supply,Claims on the Private Sector,Consumer Price Index,Retail Sales - Total,Net Gold & Forex Reserve,Motor Trade Sales at Current Prices s.a.,PMI Manufacturing,Electricity Consumption (YoY),Sales of Accessories - Income_x,Convenient Store Sales - Income,Fuel Sales - Income,Sales of Accessories - Income_y,New Vehicle Sales,Used Vehicle Sales,Workshop Income,Real GDP at Market Prices
2018-12-31,-19783.333333333332,1754297.3333333333,3537047.6666666665,11991.0,109.46666666666665,101925.66666666667,42.619,56147.333333333336,47.53333333333333,1.0666666666666667,9119.666666666666,2181.0,18320.333333333332,9119.666666666666,14174.0,10028.333333333334,3610.6666666666665,809635.3
2019-03-31,13726.0,1744892.6666666667,3563661.6666666665,31433.666666666668,110.10000000000001,84050.33333333333,43.50466666666667,54782.333333333336,47.03333333333333,-1.2333333333333332,9145.333333333334,2029.0,15462.666666666666,9145.333333333334,13933.666666666666,9743.0,3636.0,761632.8
2019-06-30,8068.333333333333,1779051.0,3694417.6666666665,12733.333333333334,112.03333333333335,87318.0,43.45433333333333,56571.666666666664,46.26666666666667,-0.43333333333333335,9348.666666666666,2024.3333333333333,16789.333333333332,9348.666666666666,13595.0,9866.0,3735.3333333333335,788307.4
2019-09-30,31165.666666666668,1818169.6666666667,3764555.6666666665,18385.666666666668,113.10000000000001,88593.66666666667,44.06333333333333,56597.0,47.63333333333333,-2.6333333333333333,9528.0,2033.3333333333333,16847.333333333332,9528.0,14839.333333333334,10391.666666666666,3751.3333333333335,793431.4
2019-12-31,-23146.0,1834705.0,3782898.3333333335,11051.0,113.56666666666666,105606.66666666667,44.64233333333333,55443.0,47.63333333333333,-3.366666666666667,9251.666666666666,2145.0,17149.0,9251.666666666666,14147.0,10485.333333333334,3686.6666666666665,805965.3
2020-03-31,93443.66666666667,1908604.6666666667,3852718.3333333335,54477.666666666664,114.96666666666665,88365.33333333333,45.42666666666667,52629.0,45.86666666666667,-2.8666666666666667,8848.666666666666,1954.0,15737.666666666666,8848.666666666666,12368.333333333334,9500.0,3599.0,764788.0
2020-06-30,15584.666666666666,2061659.0,4088632.0,-12799.666666666666,114.73333333333333,69831.0,45.580000000000005,29314.0,50.06666666666666,-13.933333333333332,5655.0,1233.6666666666667,8023.0,5655.0,6519.666666666667,4898.333333333333,1848.0,648135.2
2020-09-30,20807.666666666668,2109146.0,4151017.0,-12825.333333333334,116.60000000000001,86087.66666666667,49.76500000000001,51569.666666666664,55.666666666666664,-1.9666666666666668,9613.0,1709.3333333333333,13442.666666666666,9613.0,12881.0,11154.666666666666,3593.0,744589.9
2020-12-31,-25005.333333333332,2186623.0,4127994.3333333335,17013.0,117.16666666666667,105856.66666666667,51.55833333333334,53137.666666666664,54.6,-0.9666666666666668,9640.333333333334,1985.6666666666667,14520.0,9640.333333333334,13337.666666666666,11292.666666666666,3533.3333333333335,771924.9
2021-03-31,3700.3333333333335,2211578.3333333335,4110794.0,-12957.666666666666,118.5,89352.33333333333,51.48066666666667,54514.666666666664,53.76666666666667,-1.0666666666666667,9527.0,1851.6666666666667,13848.0,9527.0,13709.333333333334,10867.666666666666,3539.6666666666665,740624.0
