"","","","Indicator Code","Indicator Name","Indicator Type","Indicator Subtype","Region","Country","City","Indicator Currency","Indicator Frequency","Source","Source link","Secondary link","Unit","Value Type","Relevence"
"","","","SAFZAXX02Da003","Google Mobility - Parks","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Daily","Google","https://www.google.co.in/","https://www.google.com/covid19/mobility/","%","%","L"
"","","","SAFZAXX02Da002","Google Mobility - Grocery & Pharmacy","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Daily","Google","https://www.google.co.in/","https://www.google.com/covid19/mobility/","%","%","L"
"","","","SAFZAXX02Da001","Google Mobility - Retail & Recreation","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Daily","Google","https://www.google.co.in/","https://www.google.com/covid19/mobility/","%","%","L"
"","","","SAFZAXX02Ma120","Apple Mobility","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","Apple","https://www.apple.com/in/","https://covid19.apple.com/mobility","-","Number","L"
"","","","SAFZAXX01Qa144","Labor Force (15-64 Years)","Economic","Employment, Unemployment and Wages","Southern Africa","South Africa","","-","Quarterly","STATS SA","http://www.statssa.gov.za/","http://www.statssa.gov.za/?page_id=1866&PPN=P0211&SCH=7621","K","Number","L"
"","","","SAFZAXX14Ma011","Claims on the Domestic Private Sector (Households)","Economic","Banking and Financial","Southern Africa","South Africa","","ZAR","Monthly","South African Reserve Bank","https://www.resbank.co.za/Pages/default.aspx","https://wwwrs.resbank.co.za/webindicators/MonthlyIndicators.aspx?DataType=MRDMA","mn","Currency","L"
"","","","SAFZAXX14Qa065","Consumer Accounts - Impaired Records (Judgments and Administration Orders)","Economic","Banking and Financial","Southern Africa","South Africa","","-","Quarterly","National Credit Regulator, South Africa","https://www.ncr.org.za","https://www.ncr.org.za/index.php/publications/credit-bureau-monitor-cbm","mn","Number","L"
"","","","SAFZAXX14Qa064","Consumer Accounts - Impaired Records (Adverse Listings)","Economic","Banking and Financial","Southern Africa","South Africa","","-","Quarterly","National Credit Regulator, South Africa","https://www.ncr.org.za","https://www.ncr.org.za/index.php/publications/credit-bureau-monitor-cbm","mn","Number","L"
"","","","SAFZAXX14Qa063","Credit Active Consumers - Impaired Records (Judgments and Administration Orders)","Economic","Banking and Financial","Southern Africa","South Africa","","-","Quarterly","National Credit Regulator, South Africa","https://www.ncr.org.za","https://www.ncr.org.za/index.php/publications/credit-bureau-monitor-cbm","mn","Number","L"
"","","","SAFZAXX14Qa062","Credit Active Consumers - Impaired Records (Adverse Listings)","Economic","Banking and Financial","Southern Africa","South Africa","","-","Quarterly","National Credit Regulator, South Africa","https://www.ncr.org.za","https://www.ncr.org.za/index.php/publications/credit-bureau-monitor-cbm","mn","Number","L"
"","","","SAFZAXX14Qa061","Consumer Accounts - Impaired Records (3+ Months in Arrears)","Economic","Banking and Financial","Southern Africa","South Africa","","-","Quarterly","National Credit Regulator, South Africa","https://www.ncr.org.za","https://www.ncr.org.za/index.php/publications/credit-bureau-monitor-cbm","mn","Number","L"
"","","","SAFZAXX14Qa060","Consumer Accounts - Impaired Records","Economic","Banking and Financial","Southern Africa","South Africa","","-","Quarterly","National Credit Regulator, South Africa","https://www.ncr.org.za","https://www.ncr.org.za/index.php/publications/credit-bureau-monitor-cbm","mn","Number","L"
